frame,RB:rKnee_Joint.tx,RB:rKnee_Joint.ty,RB:rKnee_Joint.tz,RB:rKnee_Joint.rx,RB:rKnee_Joint.ry,RB:rKnee_Joint.rz,RB:rAnkle_Joint.tx,RB:rAnkle_Joint.ty,RB:rAnkle_Joint.tz,RB:rAnkle_Joint.rx,RB:rAnkle_Joint.ry,RB:rAnkle_Joint.rz,RB:rAnkle_Pos.tx,RB:rAnkle_Pos.ty,RB:rAnkle_Pos.tz,RB:rAnkle_Pos.rx,RB:rAnkle_Pos.ry,RB:rAnkle_Pos.rz,RB:rD1P1_Spline.tx,RB:rD1P1_Spline.ty,RB:rD1P1_Spline.tz,RB:rD1P1_Spline.rx,RB:rD1P1_Spline.ry,RB:rD1P1_Spline.rz,RB:rD1P2_Pos.tx,RB:rD1P2_Pos.ty,RB:rD1P2_Pos.tz,RB:rD1P2_Pos.rx,RB:rD1P2_Pos.ry,RB:rD1P2_Pos.rz,RB:rD1TUP_Pos.tx,RB:rD1TUP_Pos.ty,RB:rD1TUP_Pos.tz,RB:rD1TUP_Pos.rx,RB:rD1TUP_Pos.ry,RB:rD1TUP_Pos.rz,RB:rD1markerjoint.tx,RB:rD1markerjoint.ty,RB:rD1markerjoint.tz,RB:rD1markerjoint.rx,RB:rD1markerjoint.ry,RB:rD1markerjoint.rz,RB:rMP_Joint.tx,RB:rMP_Joint.ty,RB:rMP_Joint.tz,RB:rMP_Joint.rx,RB:rMP_Joint.ry,RB:rMP_Joint.rz,RB:rD3P2_Pos.tx,RB:rD3P2_Pos.ty,RB:rD3P2_Pos.tz,RB:rD3P2_Pos.rx,RB:rD3P2_Pos.ry,RB:rD3P2_Pos.rz,RB:rD3P3_Pos.tx,RB:rD3P3_Pos.ty,RB:rD3P3_Pos.tz,RB:rD3P3_Pos.rx,RB:rD3P3_Pos.ry,RB:rD3P3_Pos.rz,RB:rD3TUP_Pos.tx,RB:rD3TUP_Pos.ty,RB:rD3TUP_Pos.tz,RB:rD3TUP_Pos.rx,RB:rD3TUP_Pos.ry,RB:rD3TUP_Pos.rz,RB:rD3markerJoint.tx,RB:rD3markerJoint.ty,RB:rD3markerJoint.tz,RB:rD3markerJoint.rx,RB:rD3markerJoint.ry,RB:rD3markerJoint.rz,RB:rD2P1_Joint.tx,RB:rD2P1_Joint.ty,RB:rD2P1_Joint.tz,RB:rD2P1_Joint.rx,RB:rD2P1_Joint.ry,RB:rD2P1_Joint.rz,RB:rD2P2_Pos.tx,RB:rD2P2_Pos.ty,RB:rD2P2_Pos.tz,RB:rD2P2_Pos.rx,RB:rD2P2_Pos.ry,RB:rD2P2_Pos.rz,RB:rD2TUP_Pos.tx,RB:rD2TUP_Pos.ty,RB:rD2TUP_Pos.tz,RB:rD2TUP_Pos.rx,RB:rD2TUP_Pos.ry,RB:rD2TUP_Pos.rz,RB:rD2markerJoint.tx,RB:rD2markerJoint.ty,RB:rD2markerJoint.tz,RB:rD2markerJoint.rx,RB:rD2markerJoint.ry,RB:rD2markerJoint.rz,RB:rD4P1_Joint.tx,RB:rD4P1_Joint.ty,RB:rD4P1_Joint.tz,RB:rD4P1_Joint.rx,RB:rD4P1_Joint.ry,RB:rD4P1_Joint.rz,RB:rD4P2_Pos.tx,RB:rD4P2_Pos.ty,RB:rD4P2_Pos.tz,RB:rD4P2_Pos.rx,RB:rD4P2_Pos.ry,RB:rD4P2_Pos.rz,RB:rD4P3_Joint.tx,RB:rD4P3_Joint.ty,RB:rD4P3_Joint.tz,RB:rD4P3_Joint.rx,RB:rD4P3_Joint.ry,RB:rD4P3_Joint.rz,RB:rD4P4_Joint.tx,RB:rD4P4_Joint.ty,RB:rD4P4_Joint.tz,RB:rD4P4_Joint.rx,RB:rD4P4_Joint.ry,RB:rD4P4_Joint.rz,RB:rD4TUP_Pos.tx,RB:rD4TUP_Pos.ty,RB:rD4TUP_Pos.tz,RB:rD4TUP_Pos.rx,RB:rD4TUP_Pos.ry,RB:rD4TUP_Pos.rz,RB:rD4markerJoint.tx,RB:rD4markerJoint.ty,RB:rD4markerJoint.tz,RB:rD4markerJoint.rx,RB:rD4markerJoint.ry,RB:rD4markerJoint.rz
26,1.646665907,26.13828082,20.30210011,160.4761143,77.05856841,-11.58658796,4.467288163,25.50942348,8.652704765,-13.12193663,70.72584847,-4.937244578,4.58567814,25.20243117,8.285489975,79.73992771,16.3630656,451.0407786,4.982321009,19.62917983,9.795300857,-79.74158478,-16.33185307,-88.953334,5.255385495,19.03536132,9.329030014,-47.38782328,30.06436218,-71.61550454,6.072653357,19.0979684,8.231503644,8.495348366,53.66915038,4.145130498,6.363595365,19.06603393,7.518968838,-105.8579608,34.94154951,173.9404892,4.837940139,17.84402761,10.46960649,107.1189809,12.66115246,-73.61289589,5.31952243,16.05882376,10.04119185,107.1189809,12.66115246,-73.61289589,5.602514705,14.62615047,10.11468562,106.6921799,-0.836498806,-77.72587285,5.843747055,13.49097243,10.15033485,106.7207369,-3.405276423,-78.49731094,6.224274843,12.30630243,9.673318595,-11.5606352,14.27229614,177.5744243,5.349086674,18.34190203,10.0956508,111.4256842,23.16993439,-76.05038923,5.758000148,16.88177026,9.377608417,111.4256842,23.16993439,-76.05038923,5.916962909,15.69723478,9.233097399,109.7718884,6.894399829,-82.35666344,6.041974082,14.57685211,9.136380272,12.25287514,19.84942161,-175.8184617,4.212875306,18.10070162,10.18532984,117.5117916,25.56429662,-68.71569858,4.605893937,17.01326819,9.615810346,117.5117916,25.56429663,-68.71569858,4.82441009,16.2995565,9.400943134,115.0259932,9.916809278,-76.78564919,4.962699831,15.70169315,9.298096012,114.7324162,5.124341831,-79.02646934,5.111870532,15.01552278,9.242461462,114.7324162,5.124341831,-79.02646934,5.34512729,14.13929395,9.236859383,7.619599915,24.77811761,-172.4258053
27,1.799247455,25.86786933,20.30601216,162.5502277,77.76680573,-9.598522606,4.494688235,25.35424382,8.621382456,-11.49524583,71.37918003,-3.434903463,4.608933463,25.05088131,8.249863446,80.36612875,15.77684741,451.1778758,5.01787628,19.46253949,9.699410463,-80.36762686,-15.74557501,-88.81660888,5.284458777,18.87463229,9.222030091,-47.80486859,31.01046798,-71.94729683,6.091743371,19.0096244,8.123631596,13.2675313,53.74031268,9.31682773,6.375457264,18.99386698,7.407649025,-107.2522961,34.22374169,173.3409733,4.879490274,17.67079825,10.3572973,106.4000556,11.97010843,-74.06146508,5.348341787,15.87689212,9.951720649,106.4000556,11.97010843,-74.06146508,5.630513955,14.44401706,10.02443004,106.0353031,-0.793237205,-77.78254359,5.870007805,13.30853793,10.06215208,106.064729,-3.513163326,-78.56550725,6.238364358,12.11017957,9.610444661,-10.16821749,13.95347923,177.475552,5.386949721,18.17210209,9.982901709,110.989329,23.1433997,-76.13867177,5.793187682,16.71103228,9.265248862,110.989329,23.1433997,-76.13867177,5.950240202,15.52513017,9.130165248,109.3574979,6.442659999,-82.45604937,6.071209481,14.40301234,9.049807612,13.1499764,19.47132489,-175.6983305,4.25159716,17.93067222,10.0823126,116.9648388,25.25038405,-69.6065806,4.628649886,16.83419263,9.51938159,116.9648388,25.25038405,-69.6065806,4.836239992,16.11483149,9.312675299,114.5419686,9.111985747,-77.7151781,4.965143835,15.51345623,9.218474669,114.2857772,4.322721038,-79.90320659,5.103975988,14.82440406,9.172543898,114.2857772,4.322721038,-79.90320659,5.324752296,13.94494825,9.17823156,8.465538201,24.37729928,-172.888535
28,1.916564071,25.58075247,20.30464219,165.3421427,78.29685901,-6.849315836,4.521978731,25.20040491,8.594521195,-9.500890873,71.84854466,-1.524393476,4.63343796,24.90130862,8.218721492,80.80957805,15.11864824,451.3139225,5.055048675,19.29706048,9.601700965,-80.81094518,-15.0873357,-88.68083048,5.316684588,18.71627773,9.112997403,-48.01761033,32.00819517,-72.14664255,6.115751904,18.92780962,8.020680495,18.2600455,53.32413336,14.71599187,6.394266057,18.93054885,7.30249161,-108.8406035,33.64160284,172.707037,4.922221245,17.49793678,10.24030359,105.8315182,11.10187854,-74.47444511,5.37962429,15.69487234,9.863269793,105.8315182,11.10187854,-74.47444511,5.660816771,14.26190617,9.937952231,105.5295009,-0.861235294,-77.83910049,5.898569573,13.12621161,9.979959031,105.5614778,-3.728842556,-78.63735486,6.256257529,11.91396917,9.557683639,-8.658430872,13.82194574,177.4021924,5.426644178,18.003628,9.867709026,110.7273006,23.05521776,-76.13458298,5.832946533,16.54152312,9.1522039,110.7273006,23.05521776,-76.13458298,5.988991173,15.35432916,9.027715077,109.1114887,5.935459795,-82.51197441,6.106647978,14.230741,8.96489912,14.10038861,19.26132579,-175.5432017,4.292156805,17.76068338,9.973125965,116.8011855,25.2981441,-70.11072273,4.659360011,16.6613231,9.409302999,116.8011855,25.2981441,-70.11072273,4.859487664,15.93895345,9.205752974,114.3561725,8.708291111,-78.3713212,4.981641191,15.33550823,9.115894438,114.1177542,3.927958921,-80.53566138,5.112928427,14.64467649,9.074759887,114.1177542,3.927958921,-80.53566138,5.324544631,13.76302092,9.0856733,8.850221819,24.2288735,-173.3272271
29,2.00840746,25.28257948,20.29797101,168.620444,78.68046884,-3.576215538,4.548197245,25.04532825,8.56967347,-7.286563048,72.17631384,0.642427748,4.657844188,24.75087537,8.189696877,81.12578808,14.42478322,451.4552361,5.092986329,19.13093281,9.503044518,-81.1270452,-14.3934432,-88.5397121,5.350806174,18.55809071,9.003070548,-48.09227055,33.02833911,-72.24714755,6.142315773,18.84827093,7.923386088,23.20748493,52.46125831,20.08656975,6.417014568,18.87092319,7.204080618,-110.5413856,33.15028275,172.0691037,4.965603743,17.32414713,10.1207838,105.3952411,10.22135433,-74.81420935,5.413695542,15.51294413,9.772687826,105.3952411,10.22135433,-74.81420935,5.694829444,14.08002566,9.848497539,105.146913,-0.898449435,-77.85479432,5.931651406,12.94427682,9.894137804,105.1812138,-3.911295639,-78.67194946,6.280447719,11.71938513,9.502002134,-7.174575199,13.81214696,177.3637724,5.467400732,17.83481468,9.751444681,110.5928628,22.93480782,-76.02886675,5.87660605,16.37200859,9.039033815,110.5928628,22.93480782,-76.02886675,6.032969389,15.18373883,8.925709723,108.9877228,5.401478952,-82.50357102,6.148449926,14.05905896,8.881002164,15.07509348,19.17211157,-175.3325481,4.333774958,17.58938546,9.860318994,116.7468187,25.2846289,-70.64761496,4.690695456,16.48649158,9.296794,116.7468187,25.2846289,-70.64761496,4.882729424,15.76085123,9.097117699,114.2798176,8.254959072,-79.08969829,4.997444265,15.15524346,9.0121359,114.0595725,3.483731377,-81.2413499,5.120265402,14.46255489,8.976437056,114.0595725,3.483731377,-81.2413499,5.321404713,13.57854794,8.993517683,9.285437685,24.19082702,-173.8285914
30,2.074484622,24.97859707,20.28595312,172.2556632,78.90675245,0.097428166,4.572671931,24.89208116,8.546644854,-4.925600697,72.35822402,2.998930878,4.681503365,24.60258658,8.162645155,81.31700951,13.70665745,451.6093938,5.131784642,18.96757985,9.404390279,-81.31817597,-13.67530129,-88.38567786,5.38709386,18.40336875,8.893434162,-48.02882607,34.04975642,-72.23287739,6.171508427,18.77296779,7.833009308,27.90234217,51.17166916,25.24051081,6.443756832,18.81644411,7.113729441,-112.3124192,32.75383191,171.4504741,5.009971873,17.153011,10.00004477,105.0881167,9.345468239,-75.09316078,5.450503218,15.33466527,9.680726234,105.0881167,9.345468239,-75.09316078,5.732201752,13.90187846,9.756927487,104.8851085,-0.909062025,-77.84154286,5.968645377,12.76617879,9.805648785,104.9216084,-4.065484781,-78.6822709,6.309963288,11.5298104,9.444146083,-5.721550856,13.92003665,177.3507505,5.509493069,17.66918651,9.635305826,110.5794937,22.78925907,-75.83557439,5.92405706,16.20601943,8.926744823,110.5794937,22.78925907,-75.83557439,6.081786778,15.01688862,8.824930628,108.9796153,4.851481393,-82.44422999,6.195942104,13.89149293,8.798616499,16.06145608,19.19673426,-175.0791346,4.376722378,17.42026676,9.745151883,116.7901172,25.21658444,-71.26307681,4.721997588,16.3129819,9.182983909,116.7901172,25.21658445,-71.26307681,4.904713541,15.58372118,8.987803813,114.3016066,7.759853836,-79.91439604,5.010822772,14.9758245,8.90815059,114.1000035,2.998919169,-82.06272092,5.12373485,14.28117095,8.878415296,114.1000035,2.998919169,-82.06272092,5.312441839,13.39458771,8.902433996,9.761827836,24.25126563,-174.4353203
31,2.116151245,24.67274049,20.26982922,176.0701655,78.97850501,3.997927959,4.594318829,24.74230992,8.526165868,-2.501714046,72.40201027,5.465894044,4.703276428,24.45801969,8.13833282,81.39531341,12.97564996,451.7842225,5.171051982,18.80894264,9.307563138,-81.3964055,-12.94428728,-88.21090803,5.425221368,18.25390074,8.786104105,-47.83742463,35.05337581,-72.09589269,6.202607622,18.70234719,7.751223953,32.19130764,49.51113714,30.04121712,6.473619671,18.76704044,7.033073436,-114.1104853,32.44825936,170.8721661,5.055211656,16.98662138,9.880301354,104.9005601,8.500038237,-75.31666767,5.48975855,15.16218126,9.588752691,104.9005601,8.500038237,-75.31666767,5.772572729,13.72958976,9.664492094,104.7349719,-0.888231088,-77.80258566,6.009109286,12.59401725,9.715664598,104.773498,-4.187696893,-78.6722396,6.344118873,11.34737333,9.384852817,-4.312212798,14.13260485,177.3596032,5.55269475,17.50876144,9.521311752,110.6771629,22.64146319,-75.55832277,5.974902132,16.04585188,8.816743489,110.6771629,22.64146319,-75.55832277,6.135004047,14.85612403,8.726234455,109.0755123,4.31170329,-82.33573856,6.248637494,13.73039795,8.718014478,17.03057024,19.32260149,-174.7891939,4.420797618,17.25535513,9.629897626,116.9195962,25.11917477,-71.98922286,4.752330067,16.14291249,9.069643067,116.9195962,25.11917477,-71.98922286,4.924059136,15.409728,8.879245512,114.4076181,7.249019816,-80.87582862,5.020053924,14.79945867,8.805093495,114.22452,2.500546001,-83.0283701,5.121255958,14.10276718,8.781513776,114.22452,2.500546001,-83.0283701,5.295149584,13.21338508,8.812779452,10.250212,24.39436804,-175.1842637
32,2.15524118,24.36730093,20.25666195,-179.9598885,78.98632245,8.054930843,4.615071492,24.59823625,8.511208058,0.007444748,72.4003506,8.017823053,4.724221619,24.31937709,8.119505386,81.45961544,12.21965848,451.9584189,5.209534709,18.65674852,9.213623256,-81.46063418,-12.18829051,-88.03676186,5.462746242,18.11122999,8.681752446,-47.6209594,36.06563706,-71.93087029,6.231702005,18.63641165,7.677112312,36.07824006,47.6125811,34.43622703,6.501532469,18.7222357,6.960733456,-115.8995396,32.14306909,170.3035509,5.099655035,16.82673595,9.762516068,104.7419784,7.700355706,-75.48007391,5.529945356,14.99727879,9.497280067,104.7419784,7.700355706,-75.48007391,5.814968448,13.56506922,9.571954777,104.6076903,-0.844166653,-77.71932598,6.052466859,12.42979078,9.625156918,104.6480031,-4.28891205,-78.61915171,6.382168434,11.17403926,9.324867215,-2.925920029,14.36300272,177.4151424,5.595127019,17.35494492,9.409675985,110.801573,22.49327821,-75.19096448,6.027314098,15.89301593,8.709134859,110.801573,22.49327821,-75.19096448,6.191470407,14.70304394,8.62978605,109.1978233,3.779221295,-82.1456358,6.306116095,13.57743154,8.639399811,17.98691998,19.47276539,-174.419894,4.464109045,17.09695824,9.5166252,117.0530405,25.02175113,-72.8492603,4.779211269,15.97879304,8.958284135,117.0530405,25.02175113,-72.8492603,4.938137846,15.24151494,8.772636798,114.5192886,6.742323425,-81.97270991,5.022512309,14.62889366,8.703947005,114.3545877,2.007084219,-84.12980996,5.110305487,13.93020657,8.686465826,114.3545877,2.007084219,-84.12980996,5.267229772,13.03795345,8.724887336,10.73287823,24.54099814,-176.0687277
33,2.179712545,24.07309634,20.23959823,-176.255004,78.88632976,11.87740453,4.633498817,24.45907711,8.496952219,2.356740592,72.30952716,10.44301825,4.743378683,24.18550087,8.101743891,81.45848456,11.50182083,452.1445847,5.247587061,18.51122762,9.12467206,-81.45944182,-11.47045295,-87.85060813,5.500846045,17.97503774,8.58342036,-47.33717845,36.99976024,-71.68247257,6.260771928,18.5731077,7.613247431,39.41680842,45.52728326,38.33928559,6.530123625,18.67894384,6.899369789,-117.5887375,31.90794659,169.8111374,5.143903072,16.67413816,9.650651999,104.6608509,6.986278558,-75.59080053,5.571429988,14.8407817,9.408912013,104.6608509,6.986278558,-75.59080053,5.859285809,13.40902186,9.481310211,104.5508743,-0.753819566,-77.6090334,6.098231761,12.27410284,9.535686336,104.5924997,-4.347328244,-78.54392866,6.423500747,11.01049653,9.264968631,-1.609693019,14.64811237,177.4915018,5.637496859,17.20833376,9.304250978,110.9993406,22.3942382,-74.73905353,6.081748311,15.74869513,8.606486259,110.9993406,22.3942382,-74.73905353,6.251208341,14.55885421,8.536925112,109.3832861,3.312498172,-81.89430844,6.367953508,13.43371565,8.562869811,18.86440706,19.68177399,-174.0143707,4.507371558,16.94534729,9.408423868,117.2353701,24.95694821,-73.8628068,4.802855268,15.82122733,8.851314123,117.2353701,24.95694821,-73.8628068,4.946741289,15.07981927,8.669896122,114.6717598,6.280283924,-83.23911394,5.017606711,14.46495197,8.606190053,114.5236221,1.561884276,-85.40333493,5.089837705,13.76436904,8.594226375,114.5236221,1.561884276,-85.40333493,5.227030955,12.86916725,8.639046347,11.15963587,24.72323807,-177.1461991
34,2.205247356,23.79233736,20.22247642,-172.8010602,78.76202154,15.46011209,4.649803196,24.325913,8.483684861,4.566898421,72.20958646,12.74232099,4.760342494,24.05741864,8.085188936,81.46950207,10.82112427,452.3409377,5.284448686,18.37315387,9.04040189,-81.47040004,-10.78975548,-87.65427243,5.537997222,17.84589406,8.490580698,-47.07259502,37.86554315,-71.41377442,6.287278564,18.51196666,7.557127271,42.28228662,43.38584612,41.79631095,6.55596744,18.63622943,6.845974711,-119.1320092,31.67833158,169.3955136,5.18733955,16.52961295,9.544613855,104.5801785,6.363566828,-75.65389839,5.613457265,14.69333892,9.323401794,104.5801785,6.363566828,-75.65389839,5.904906952,13.26215457,9.392735497,104.4892747,-0.632479469,-77.46871465,6.145871973,12.12769596,9.447804775,104.5317831,-4.382029411,-78.43988267,6.467306283,10.85732508,9.205675251,-0.340098279,14.91584942,177.5985355,5.678888413,17.06955212,9.204262661,111.1941899,22.3336674,-74.21174077,6.136980093,15.61335876,8.508250575,111.1941899,22.3336674,-74.21174077,6.313341057,14.42404229,8.447422957,109.5626942,2.896227864,-81.56520904,6.433715509,13.29973677,8.488489106,19.67926669,19.88164142,-173.5453097,4.549730353,16.80151484,9.306023757,117.3920931,24.94048239,-75.05064238,4.821919432,15.67139872,8.749177088,117.3920931,24.94048239,-75.05064238,4.948428356,14.92596862,8.571325877,114.7949289,5.869205771,-84.67162537,5.003931842,14.30908222,8.512057742,114.6617439,1.170168154,-86.83898113,5.058573857,13.60684255,8.504946364,114.6617439,1.170168154,-86.83898113,5.173510725,12.70880105,8.555225973,11.52558309,24.87158245,-178.406323
35,2.24393649,23.52418671,20.20840542,-169.4569855,78.67316281,18.93021199,4.664246594,24.19925791,8.471874358,6.718363253,72.15894337,14.98124952,4.774912999,23.93567894,8.070145298,81.55154699,10.16590699,452.5464939,5.319691611,18.24270896,8.959692397,-81.55238128,-10.1345315,-87.44877196,5.573214005,17.72390897,8.401869779,-46.89193749,38.67825979,-71.17096587,6.30970726,18.45249117,7.505679955,44.76757818,41.28588908,44.87075634,6.576900529,18.59330488,6.797052995,-120.4971417,31.40548907,169.0572016,5.229660927,16.39324443,9.443095415,104.4379891,5.826052387,-75.67709663,5.655504383,14.55485064,9.239677089,104.4379891,5.826052387,-75.67709662,5.951224985,13.12439212,9.30583219,104.3623763,-0.505517957,-77.30360581,6.194702108,11.99050938,9.361706224,104.4056249,-4.42273189,-78.30891768,6.512662647,10.71427404,9.147432193,0.91250581,15.11100613,177.7405878,5.718764608,16.9386533,9.107982975,111.3220753,22.28835596,-73.62343799,6.192086397,15.48671653,8.413270102,111.3220753,22.28835596,-73.62343799,6.377134463,14.29832702,8.360691919,109.6799047,2.503172004,-81.14936041,6.502965242,13.17523998,8.416202668,20.45935885,20.01747153,-172.9914433,4.590698239,16.66571015,9.208807922,117.4615191,24.96825359,-76.42816119,4.835591522,15.52965816,8.651366704,117.4615191,24.96825359,-76.42816119,4.942359951,14.78043471,8.476534459,114.8336683,5.496635329,-86.2635033,4.980726251,14.16187294,8.421293722,114.7145003,0.818967519,-88.42474852,5.01590817,13.45835934,8.4185134,114.7145003,0.81896752,-88.42474852,5.106315431,12.55778888,8.473435438,11.84450475,24.93233932,-179.8309338
